reference,year,data,elicited_risk_or_perceptions,actual_account_trading,repeated_security_events,out_of_time_prediction,closest_overlap,key_difference
Sanz-Cruzado et al. FAR-Trans,2024,Public European financial institution profiles transactions and prices,Yes,Yes,No,No,Same source dataset,Introduces recommendation benchmark and 11 baselines rather than stress-response validation
Hoffmann Post and Pennings Individual investor perceptions and behavior during the financial crisis,2013,Monthly survey linked to brokerage records,Yes,Yes,Single broad crisis,No,Survey plus actual transactions during stress,Monthly crisis panel rather than repeated security events and predictive holdout
Hoffmann Post and Pennings How investor perceptions drive actual trading and risk-taking behavior,2015,Monthly perceptions linked to brokerage records,Yes,Yes,No,No,Elicited perceptions versus actual trading,General trading and risk taking rather than event responses
Brooks and Williams When it comes to the crunch,2022,Realistic hypothetical loss scenarios,Yes,No,Scenario based,No,Risk tolerance and loss-response decision,Intentions rather than observed account trades
Thompson et al. Measuring the gap between elicited and revealed risk,2022,Canadian dealer KYC and portfolio holdings,Yes,Portfolio holdings,No,No,Elicited versus revealed risk,Static or longitudinal portfolio VaR rather than immediate trading response
Bellofatto D'Hondt and De Winne Subjective financial literacy and retail investors' behavior,2018,MiFID test and brokerage trades,MiFID knowledge and experience,Yes,No,No,MiFID information linked to actual trades,Financial literacy rather than risk-category stress response
Corter and Chen Do Investment Risk Tolerance Attitudes Predict Portfolio Risk,2006,Questionnaire and actual portfolio risk,Yes,Portfolio holdings,No,No,Risk-tolerance predictive validity,Portfolio composition rather than repeated event behavior
Guillemette Finke and Gilliam Risk Tolerance Questions to Best Determine Client Portfolio Allocation Preferences,2012,Questionnaire and allocation preferences/changes,Yes,Limited behavior,No,No,Question design and investment changes,No account-level repeated event prediction
Klocke and Pelster Inside the mind of retail short sellers,2026,Large brokerage CFD records and MiFID II questionnaire,Yes,Yes,No,No,MiFID risk tolerance and actual risky trading,Short selling and leverage rather than negative-return responses
Survey-based measures of risk attitudes and portfolio risk,2024,Turkish pension participants questionnaire and holdings,Yes,Portfolio holdings,No,No,Regulatory questionnaire predictive validity,Portfolio risk not trading after events
Barber and Odean All That Glitters,2008,Individual brokerage trading and extreme-return attention events,No,Yes,Yes,No,Actual trading around extreme returns,No customer risk profiles and no out-of-time profile-versus-behavior test
Present study,2026,FAR-Trans profiles transactions and prices,Yes,Yes,Yes,Yes,Combines all dimensions,Narrow extension claim only
