event_id,previous_price_gap_days
GRS084003011|2019-08-15,1
GRS208303008|2019-08-15,1
GRS277023008|2019-08-16,1
GRS315003004|2019-08-16,1
GRS368313003|2019-08-16,1
GRS047063003|2019-08-19,3
GRS275073005|2019-08-21,1
GRS374003002|2019-08-26,3
GRS475003018|2019-08-26,3
GRS131003006|2019-08-29,1
GRS517003000|2019-09-02,3
GRS245213004|2019-09-10,1
GRS472003011|2019-09-11,1
GRS135003002|2019-09-18,1
GRS413313008|2019-09-18,1
GRS316003003|2019-09-23,3
GRS299003004|2019-09-26,1
100974271034|2019-09-27,1
GRS222213001|2019-09-30,3
GRS343313003|2019-09-30,3
GRS403003007|2019-09-30,3
GRS422003004|2019-09-30,3
GRS432003028|2019-09-30,3
GRS289103004|2019-10-01,1
GRS412503005|2019-10-01,1
GRS474003001|2019-10-01,1
GRS208303008|2019-10-02,1
GRS364253005|2019-10-02,1
GRS277023008|2019-10-03,1
GRS375183001|2019-10-03,1
GRS314003005|2019-10-08,1
GRS368313003|2019-10-08,1
GRS065003014|2019-10-09,1
GRS433003019|2019-10-10,1
GRS314003005|2019-11-08,1
GRS422003004|2019-11-11,3
GRS406003004|2019-11-18,3
GRS472003011|2019-11-18,3
GRS135003002|2019-11-21,1
GRS137003000|2019-12-06,1
GRS385113006|2019-12-09,3
GRS070003009|2019-12-10,1
GRS424003002|2019-12-12,1
GRS275073005|2019-12-16,3
GRS299003004|2019-12-23,3
GRS310003009|2019-12-24,1
GRS326003019|2019-12-24,1
GRS047063003|2020-01-03,1
GRS419003009|2020-01-16,1
GRS213213002|2020-01-22,1
GRS137003000|2020-02-03,3
GRS412503005|2020-02-10,3
GRS326003019|2020-02-21,1
GRS208303008|2020-02-24,3
GRS402003008|2020-02-24,3
GRS413313008|2020-02-24,3
GRS428003008|2020-02-24,3
GRS343313003|2020-02-25,1
GRS439003005|2020-02-26,1
GRS495003006|2020-02-26,1
GRS088003017|2020-02-27,1
GRS432003028|2020-02-27,1
CH0198251305|2020-02-28,1
GRS387503006|2020-02-28,1
GRS427003009|2020-02-28,1
GRS316003003|2020-03-02,3
GRS405003005|2020-03-02,3
GRS096003009|2020-03-03,1
GRS477003008|2020-03-03,1
GRS191213008|2020-03-05,1
GRS295003008|2020-03-05,1
GRS337003008|2020-03-05,1
GRS404003006|2020-03-05,1
GRS240003012|2020-03-06,1
GRS137003000|2020-03-09,3
GRS145003000|2020-03-09,3
GRS320313000|2020-03-09,3
GRS364253005|2020-03-09,3
GRS372003004|2020-03-09,3
GRS488003005|2020-03-09,3
GRS117123000|2020-03-10,1
GRS329503007|2020-03-10,1
GRS375183001|2020-03-10,1
GRS106003007|2020-03-11,1
GRS144003001|2020-03-11,1
GRS204003008|2020-03-11,1
GRS245213004|2020-03-11,1
GRS282183003|2020-03-11,1
GRS310003009|2020-03-11,1
GRS359353000|2020-03-11,1
GRS393503008|2020-03-11,1
GRS395363005|2020-03-11,1
GRS461003006|2020-03-11,1
GRS065003014|2020-03-12,1
GRS260333000|2020-03-12,1
GRS384003000|2020-03-12,1
GRS403003007|2020-03-12,1
GRS412503005|2020-03-12,1
GRS474003001|2020-03-12,1
GRS473003002|2020-03-13,1
GRS084003011|2020-03-16,3
GRS277023008|2020-03-16,3
GRS379233000|2020-03-16,3
GRS419003009|2020-03-16,3
GRK014011008|2020-03-17,1
GRS015003007|2020-03-17,1
GRS323003012|2020-03-17,1
GRS350263000|2020-03-17,1
GRS426003000|2020-03-17,1
GRS003003035|2020-03-18,1
GRS284183001|2020-03-18,1
GRS374003002|2020-03-18,1
GRS516003001|2020-03-18,1
GRS424003002|2020-03-20,1
100974271034|2020-03-23,3
BE0974303357|2020-03-23,3
GRS070003009|2020-03-23,3
GRS147233001|2020-03-23,3
GRS213213002|2020-03-23,3
GRS298343005|2020-03-23,3
GRS402003008|2020-03-23,3
GRS470003013|2020-03-23,3
GRS518003009|2020-03-23,3
GRS148003015|2020-03-24,1
GRS449003003|2020-03-24,1
GRS343313003|2020-03-25,1
GRS495003006|2020-03-25,1
GRS496003005|2020-03-25,1
GRS319103008|2020-03-27,1
GRS387503006|2020-03-27,1
GRS439003005|2020-03-27,1
GRS487003006|2020-03-27,1
GRS096003009|2020-03-31,1
GRS385113006|2020-03-31,1
GRS316003003|2020-04-01,1
GRS427003009|2020-04-02,1
GRS406003004|2020-04-06,3
GRS413313008|2020-04-08,1
GRS520003005|2020-04-08,1
GRS191213008|2020-04-10,1
GRS432003028|2020-04-10,1
GRS282183003|2020-04-16,1
GRS397003005|2020-04-16,1
GRS003003035|2020-04-21,1
GRS014003032|2020-04-21,1
GRS015003007|2020-04-21,1
GRS323003012|2020-04-21,1
GRS426003000|2020-04-21,1
GRS184003002|2020-04-23,1
GRS518003009|2020-04-30,1
GRS148003015|2020-05-01,1
GRS087003000|2020-05-04,3
GRS088003017|2020-05-04,3
GRS222213001|2020-05-04,3
GRS337003008|2020-05-04,3
GRS407183003|2020-05-04,3
GRS495003006|2020-05-04,3
GRS402003008|2020-05-06,1
GRS240003012|2020-05-07,1
GRS239003007|2020-05-11,3
GRS520003005|2020-05-11,3
GRS368313003|2020-05-13,1
