event_id,proxy_count
100974271034|2019-09-27,4
100974271034|2020-03-12,3
100974271034|2020-03-23,1
100974271034|2020-09-21,1
100974271034|2020-11-30,2
100974271034|2022-05-03,4
BE0974303357|2020-03-09,3
BE0974303357|2020-03-23,1
BE0974303357|2020-11-12,3
BE0974303357|2020-11-30,1
BE0974303357|2021-09-23,1
BE0974303357|2022-03-02,4
BE0974303357|2022-04-26,1
BE0974303357|2022-06-30,1
CH0198251305|2020-02-28,4
CH0198251305|2020-04-08,3
CH0198251305|2022-02-24,3
CH0198251305|2022-02-28,1
GRK014011008|2020-03-17,4
GRK014011008|2020-05-18,4
GRK014011008|2020-06-15,4
GRK014011008|2021-02-03,4
GRK014011008|2021-04-15,4
GRK014011008|2022-03-07,4
GRK014011008|2022-06-20,4
GRK014011008|2022-11-28,1
GRS001003037|2019-12-18,3
GRS001003037|2020-10-26,2
GRS001003037|2021-04-29,4
GRS001003037|2021-06-02,2
GRS001003037|2021-08-26,2
GRS001003037|2021-09-16,2
GRS001003037|2021-09-30,2
GRS001003037|2021-11-22,4
GRS001003037|2021-12-27,4
GRS003003035|2020-03-18,2
GRS003003035|2020-04-21,2
GRS003003035|2022-07-14,4
GRS004013009|2020-02-28,3
GRS004013009|2022-02-24,4
GRS014003032|2020-04-21,4
GRS014003032|2020-10-26,4
GRS014003032|2021-03-18,4
GRS014003032|2021-04-20,4
GRS014003032|2022-05-19,4
GRS014003032|2022-07-05,4
GRS015003007|2020-03-17,4
GRS015003007|2020-04-21,4
GRS015003007|2021-05-21,4
GRS015003007|2022-07-05,4
GRS015003007|2022-08-05,2
GRS045003001|2020-07-15,4
GRS045003001|2021-03-02,3
GRS045003001|2021-03-25,1
GRS045003001|2021-04-06,3
GRS045003001|2022-04-04,4
GRS045003001|2022-05-23,4
GRS045003001|2022-11-21,4
GRS047063003|2019-08-19,1
GRS047063003|2019-08-22,1
GRS047063003|2019-10-10,4
GRS047063003|2020-01-03,4
GRS047063003|2020-03-02,4
GRS047063003|2021-01-15,4
GRS047063003|2021-06-22,4
GRS047063003|2022-06-17,4
GRS047063003|2022-10-28,4
GRS054003009|2021-05-07,4
GRS054003009|2021-10-08,4
GRS054003009|2021-12-29,1
GRS054003009|2022-02-03,4
GRS054003009|2022-04-12,1
GRS054003009|2022-05-02,3
GRS054003009|2022-05-12,1
GRS054003009|2022-06-17,4
GRS054003009|2022-07-18,4
GRS054003009|2022-09-02,4
GRS065003014|2019-10-09,4
GRS065003014|2020-03-12,4
GRS065003014|2020-11-10,4
GRS065003014|2021-07-28,4
GRS065003014|2022-05-03,4
GRS070003009|2019-12-10,4
GRS070003009|2020-03-23,4
GRS070003009|2020-09-04,3
GRS070003009|2021-01-01,4
GRS070003009|2021-02-03,3
GRS070003009|2021-04-15,4
GRS070003009|2021-12-27,4
GRS070003009|2022-05-05,4
GRS084003011|2019-08-15,1
GRS084003011|2019-09-18,1
GRS084003011|2020-03-16,4
GRS084003011|2020-11-30,4
GRS084003011|2021-04-02,4
GRS084003011|2021-04-30,2
GRS084003011|2022-01-06,4
GRS084003011|2022-09-07,1
GRS087003000|2020-05-04,4
GRS087003000|2020-08-07,1
GRS087003000|2020-08-20,3
GRS087003000|2021-04-15,4
GRS087003000|2021-09-30,4
GRS088003017|2020-02-27,4
GRS088003017|2020-05-04,4
GRS088003017|2021-03-25,4
GRS088003017|2021-10-11,4
GRS088003017|2022-01-06,4
GRS088003017|2022-08-24,4
GRS092103001|2019-09-04,4
GRS092103001|2019-10-24,2
GRS092103001|2020-02-14,4
GRS092103001|2020-07-06,4
GRS092103001|2020-12-23,4
GRS092103001|2021-02-09,4
GRS092103001|2022-03-04,4
GRS092103001|2022-04-06,4
GRS092103001|2022-07-19,4
GRS096003009|2020-03-03,4
GRS096003009|2020-03-31,4
GRS096003009|2020-07-01,3
GRS096003009|2020-10-29,4
GRS096003009|2022-10-31,4
GRS106003007|2020-03-11,1
GRS106003007|2020-04-01,3
GRS106003007|2020-09-18,4
GRS106003007|2020-12-24,4
GRS106003007|2021-04-30,4
GRS106003007|2021-07-09,4
GRS106003007|2022-03-04,4
GRS117123000|2020-03-10,4
GRS117123000|2020-06-04,4
GRS117123000|2020-07-21,1
GRS117123000|2020-07-23,3
GRS117123000|2022-04-27,4
GRS117123000|2022-06-10,4
GRS117123000|2022-10-20,4
GRS120131008|2019-09-04,4
GRS131003006|2019-08-29,4
GRS131003006|2021-04-16,1
GRS131003006|2021-04-19,3
GRS131003006|2021-06-22,1
GRS131003006|2021-09-13,1
GRS131003006|2021-12-27,2
GRS135003002|2019-09-18,4
GRS135003002|2019-11-21,4
GRS135003002|2020-07-20,4
GRS135003002|2021-01-12,4
GRS135003002|2021-10-01,4
GRS135003002|2022-05-13,4
GRS135003002|2022-06-22,1
GRS135003002|2022-07-11,3
