ISIN,event_date,proxy,raw_return,abnormal_return,market_return,broad_shock,event_id
100974271034,2019-09-27,median,-0.052767052767052625,-0.05371311917562563,0.0,False,100974271034|2019-09-27
100974271034,2020-03-23,median,-0.1447236180904523,-0.10509214716322032,-0.021739130434782594,True,100974271034|2020-03-23
100974271034,2020-09-21,median,-0.0817843866171003,-0.06383508956083592,-0.009411764705882342,False,100974271034|2020-09-21
100974271034,2020-11-30,median,-0.05820105820105814,-0.062344236199189884,0.0,False,100974271034|2020-11-30
100974271034,2022-05-03,median,-0.0780841799709725,-0.04486911332789348,-0.01955803911607812,False,100974271034|2022-05-03
BE0974303357,2020-03-23,median,-0.11413043478260876,-0.08260260455469083,-0.021739130434782594,True,BE0974303357|2020-03-23
BE0974303357,2020-11-12,median,-0.059887005649717606,-0.0636269270034232,0.0,False,BE0974303357|2020-11-12
BE0974303357,2022-03-02,median,-0.053333333333333344,-0.04912074338292734,-0.005390835579514808,False,BE0974303357|2022-03-02
BE0974303357,2022-04-26,median,-0.05523255813953487,-0.053870557577471785,-0.0023419203747073736,False,BE0974303357|2022-04-26
BE0974303357,2022-06-30,median,-0.05166051660516613,-0.05497301781339717,0.0,False,BE0974303357|2022-06-30
CH0198251305,2020-02-28,median,-0.07371167645140253,-0.0456676852800984,-0.040956108470785624,False,CH0198251305|2020-02-28
CH0198251305,2022-02-28,median,-0.08017207665232695,-0.05233995440355416,-0.03157894736842093,False,CH0198251305|2022-02-28
GRK014011008,2020-03-17,median,-0.10961538461538467,-0.1294777590887029,0.016666666666666607,True,GRK014011008|2020-03-17
GRK014011008,2020-05-18,median,-0.08582089552238803,-0.08885388126857191,0.005633802816901401,False,GRK014011008|2020-05-18
GRK014011008,2020-06-15,median,-0.09607843137254901,-0.09681083784970174,0.0,False,GRK014011008|2020-06-15
GRK014011008,2021-02-03,median,-0.12307692307692308,-0.12418363758027781,0.0,False,GRK014011008|2021-02-03
GRK014011008,2021-04-15,median,-0.12396694214876036,-0.12515315862965368,0.0,False,GRK014011008|2021-04-15
GRK014011008,2022-03-07,median,-0.07053941908713701,-0.08772952597757923,0.02200000000000002,False,GRK014011008|2022-03-07
GRK014011008,2022-06-20,median,-0.07407407407407407,-0.0748396378650035,0.0,False,GRK014011008|2022-06-20
GRK014011008,2022-11-28,median,-0.07758620689655171,-0.0755491233067375,-0.0066225165562914245,False,GRK014011008|2022-11-28
GRS001003037,2020-10-26,median,-0.11483870967741949,-0.09010627900302258,-0.01183431952662728,False,GRS001003037|2020-10-26
GRS001003037,2021-04-29,median,-0.29895104895104896,-0.2999154114456929,0.0,False,GRS001003037|2021-04-29
GRS001003037,2021-08-26,median,-0.09681528662420369,-0.09814564387315199,0.0,False,GRS001003037|2021-08-26
GRS001003037,2021-09-30,median,-0.2686170212765957,-0.2683951657245066,0.0,False,GRS001003037|2021-09-30
GRS001003037,2021-11-22,median,-0.549367088607595,-0.532809655245836,-0.007194244604316502,False,GRS001003037|2021-11-22
GRS001003037,2021-12-27,median,-0.3436166721365278,-0.33447359322312065,0.0,False,GRS001003037|2021-12-27
GRS003003035,2020-03-18,median,-0.11380000000000001,-0.11662701786282492,0.0,True,GRS003003035|2020-03-18
GRS003003035,2020-04-21,median,-0.13138486752253475,-0.1337089718354355,0.0,True,GRS003003035|2020-04-21
GRS003003035,2022-07-14,median,-0.05067567567567566,-0.0547247820202294,0.0,False,GRS003003035|2022-07-14
GRS004013009,2022-02-24,median,-0.06047516198704106,-0.023911619965567926,-0.06835443037974687,False,GRS004013009|2022-02-24
GRS014003032,2020-04-21,median,-0.14198161389172614,-0.14545084201213956,0.0,True,GRS014003032|2020-04-21
GRS014003032,2020-10-26,median,-0.2426160337552743,-0.2157265236913068,-0.01183431952662728,False,GRS014003032|2020-10-26
GRS014003032,2021-03-18,median,-0.22045454545454535,-0.21933497912044128,0.0,False,GRS014003032|2021-03-18
GRS014003032,2021-04-20,median,-0.5096153846153846,-0.5070259495034025,0.0,False,GRS014003032|2021-04-20
GRS014003032,2022-05-19,median,-0.07815126050420163,-0.05417213400548164,-0.013372956909361133,False,GRS014003032|2022-05-19
GRS014003032,2022-07-05,median,-0.10888888888888881,-0.07262500835911234,-0.01917892156862744,False,GRS014003032|2022-07-05
GRS015003007,2020-03-17,median,-0.126,-0.16325035619725997,0.016666666666666607,True,GRS015003007|2020-03-17
GRS015003007,2020-04-21,median,-0.14269384644694227,-0.1434183483222838,0.0,True,GRS015003007|2020-04-21
GRS015003007,2021-05-21,median,-0.2720967741935484,-0.24788827605027286,-0.006504065040650375,False,GRS015003007|2021-05-21
GRS015003007,2022-07-05,median,-0.09347879990081831,-0.05590315830484544,-0.01917892156862744,False,GRS015003007|2022-07-05
GRS015003007,2022-08-05,median,-0.05733304702598241,-0.048679456934165824,-0.0048661800486619056,False,GRS015003007|2022-08-05
GRS045003001,2020-07-15,median,-0.19587628865979378,-0.19825316845154445,0.0,False,GRS045003001|2020-07-15
GRS045003001,2021-03-25,median,-0.15619047619047655,-0.1568691710643133,-0.00452261306532642,False,GRS045003001|2021-03-25
GRS045003001,2022-04-04,median,-0.17355371900826444,-0.1751144209360562,0.0,False,GRS045003001|2022-04-04
GRS045003001,2022-05-23,median,-0.1842105263157895,-0.18521488399456895,0.0,False,GRS045003001|2022-05-23
GRS045003001,2022-11-21,median,-0.17272727272727273,-0.17085225934326143,0.0,False,GRS045003001|2022-11-21
GRS047063003,2019-08-19,median,-0.05714285714285716,-0.1229487829974382,0.027907580477674054,False,GRS047063003|2019-08-19
GRS047063003,2019-10-10,median,-0.09999999999999998,-0.10551559576556689,0.0,False,GRS047063003|2019-10-10
GRS047063003,2020-01-03,median,-0.1923076923076923,-0.19361762599679663,-0.007367280606717208,False,GRS047063003|2020-01-03
GRS047063003,2020-03-02,median,-0.050909090909090904,-0.16597388686673403,0.0613983165897366,False,GRS047063003|2020-03-02
GRS047063003,2021-01-15,median,-0.1312500000000001,-0.1298042661129207,0.0,False,GRS047063003|2021-01-15
GRS047063003,2021-06-22,median,-0.12967289719626174,-0.13484152763184293,-0.009187464315411453,False,GRS047063003|2021-06-22
GRS047063003,2022-06-17,median,-0.09787234042553183,-0.09710486295366517,0.0013175230566535578,False,GRS047063003|2022-06-17
GRS047063003,2022-10-28,median,-0.08699763593380616,-0.08555762262332517,-0.00039840637450194727,False,GRS047063003|2022-10-28
GRS054003009,2021-05-07,median,-0.051724137931034364,-0.05440813820852013,0.0,False,GRS054003009|2021-05-07
GRS054003009,2021-10-08,median,-0.052197802197802234,-0.05546278700556721,0.0,False,GRS054003009|2021-10-08
GRS054003009,2021-12-29,median,-0.05280528052805289,-0.05588588024118059,0.0,False,GRS054003009|2021-12-29
GRS054003009,2022-02-03,median,-0.06306306306306309,-0.059286583203388366,-0.0039999999999998925,False,GRS054003009|2022-02-03
