decile,mean_pred,observed,n,model
1,0.013294018937166694,0.005202312138728324,1730,M0_event_position
2,0.020330567457480034,0.006362058993637941,1729,M0_event_position
3,0.025981258076684423,0.007510109763142692,1731,M0_event_position
4,0.03149632582240839,0.013310185185185185,1728,M0_event_position
5,0.03812227921571338,0.01559792027729636,1731,M0_event_position
6,0.04501709902693212,0.021436848203939745,1726,M0_event_position
7,0.055753917046354386,0.027761711972238288,1729,M0_event_position
8,0.07420977598495648,0.042220936957779065,1729,M0_event_position
9,0.10964830491140402,0.07634470792365529,1729,M0_event_position
10,0.21264166634448534,0.2208092485549133,1730,M0_event_position
1,0.006995867240987514,0.002890173410404624,1730,M4_plus_prior_shocks
2,0.010222778495479637,0.006940427993059572,1729,M4_plus_prior_shocks
3,0.013369156001219993,0.010410641989589358,1729,M4_plus_prior_shocks
4,0.017346343330182406,0.010410641989589358,1729,M4_plus_prior_shocks
5,0.02295133578673034,0.012724117987275883,1729,M4_plus_prior_shocks
6,0.030274275478161788,0.016194331983805668,1729,M4_plus_prior_shocks
7,0.041064414210257326,0.02371312897628687,1729,M4_plus_prior_shocks
8,0.05763409560947159,0.04337767495662233,1729,M4_plus_prior_shocks
9,0.09051794555147416,0.0896471949103528,1729,M4_plus_prior_shocks
10,0.20089101482000646,0.22023121387283237,1730,M4_plus_prior_shocks
