model,top_fraction,recall,precision,captured_actions,flagged
M0_event_position,0.05,0.3456953642384106,0.3017341040462428,261,865
M0_event_position,0.1,0.5059602649006623,0.2208092485549133,382,1730
M1_plus_profile,0.05,0.3390728476821192,0.29595375722543354,256,865
M1_plus_profile,0.1,0.49933774834437084,0.21791907514450867,377,1730
M2_plus_behavior,0.05,0.3443708609271523,0.30057803468208094,260,865
M2_plus_behavior,0.1,0.4966887417218543,0.21676300578034682,375,1730
M3_profile_behavior,0.05,0.3456953642384106,0.3017341040462428,261,865
M3_profile_behavior,0.1,0.5033112582781457,0.21965317919075145,380,1730
M4_plus_prior_shocks,0.05,0.3655629139072848,0.3190751445086705,276,865
M4_plus_prior_shocks,0.1,0.5046357615894039,0.22023121387283237,381,1730
R1_risk_only,0.05,0.3337748344370861,0.29132947976878615,252,865
R1_risk_only,0.1,0.5046357615894039,0.22023121387283237,381,1730
R2_behavior_plus_risk,0.05,0.3562913907284768,0.3109826589595376,269,865
R2_behavior_plus_risk,0.1,0.5072847682119205,0.22138728323699422,383,1730
