window_days,riskLevel,action_rate,n
1,Aggressive,0.020026263952724884,6092
1,Balanced,0.026854378566112627,16124
1,Conservative,0.02172164119066774,1243
1,Income,0.02440451316339323,11965
5,Aggressive,0.06762967826657912,6092
5,Balanced,0.07423716199454229,16124
5,Conservative,0.050683829444891394,1243
5,Income,0.06769745089845382,11965
10,Aggressive,0.0969119579500657,6092
10,Balanced,0.10768371400198609,16124
10,Conservative,0.07240547063555913,1243
10,Income,0.09875407642779496,11965
20,Aggressive,0.1531368351720731,6092
20,Balanced,0.1654322524428954,16124
20,Conservative,0.13274336283185842,1243
20,Income,0.15568962627786156,11965
