check,riskLevel,action_rate,n
1-day response window,Aggressive,0.020026263952724884,6092
1-day response window,Balanced,0.026854378566112627,16124
1-day response window,Conservative,0.02172164119066774,1243
1-day response window,Income,0.02440451316339323,11965
5-day response window,Aggressive,0.06762967826657912,6092
5-day response window,Balanced,0.07423716199454229,16124
5-day response window,Conservative,0.050683829444891394,1243
5-day response window,Income,0.06769745089845382,11965
10-day response window,Aggressive,0.0969119579500657,6088
10-day response window,Balanced,0.10768371400198609,16112
10-day response window,Conservative,0.07240547063555913,1243
10-day response window,Income,0.09875407642779496,11959
20-day response window,Aggressive,0.1531368351720731,6073
20-day response window,Balanced,0.1654322524428954,16067
20-day response window,Conservative,0.13274336283185842,1243
20-day response window,Income,0.15568962627786156,11934
idiosyncratic-only,Aggressive,0.059310066572523704,28374
idiosyncratic-only,Balanced,0.06867052023121387,28374
idiosyncratic-only,Conservative,0.05251875669882101,28374
idiosyncratic-only,Income,0.061941318750657275,28374
broad-market,Aggressive,0.10396475770925111,7050
broad-market,Balanced,0.09717370593839314,7050
broad-market,Conservative,0.04516129032258064,7050
broad-market,Income,0.08998371335504886,7050
-3 sigma event definition,Aggressive,0.08030865961703344,20334
-3 sigma event definition,Balanced,0.08735203857957037,20334
-3 sigma event definition,Conservative,0.06426735218508997,20334
-3 sigma event definition,Income,0.07788836001730852,20334
